faculty_id,keyword_id,score
0,174,44.8985
0,337,32.522
0,559,27.3669
0,1150,32.751
0,1635,24.2853
0,1858,29.0366
0,3676,101.876
0,3799,58.5785
0,4352,49.4999
0,7200,20.4316
0,8028,25.2255
0,9814,22.6997
0,16183,46.1369
0,25954,23.6043
0,41987,32.8014
0,48704,29.9577
0,49601,86.1408
1,278,2.93473
1,753,1.81884
1,4312,3.18445
1,5296,3.79435
1,5602,2.24515
1,10362,1.55956
1,12354,9.58108
1,14199,2.51624
1,19201,2.04897
1,19328,3.18813
1,20321,4.8955
1,24058,5.59797
1,26828,15.2139
1,38872,41.5017
1,47322,13.2177
1,47324,13.5299
1,53332,5.11379
2,908,171.108
2,914,241.117
2,1245,257.776
2,1419,270.529
2,1662,256.337
2,1668,273.977
2,2316,1036.91
2,2995,308.042
2,3405,490.047
2,7235,242.486
2,10231,426.893
2,14313,376.192
2,14797,188.103
2,22297,174.836
2,47704,209.044
2,49709,198.573
2,73168,199.978
3,9,0
3,2171,0.21093
3,2871,0.150429
3,5873,0.0949385
3,6252,0.123257
3,6633,0.058345
3,7391,0
3,9182,0
3,10108,0.050931
3,11055,0.922239
3,11381,0
3,12051,0
3,13754,0.104029
3,16265,0
3,19864,0.284901
3,45086,0
3,57049,0
3,70098,0
4,890,22.3245
4,1352,9.36075
4,2091,8.42394
4,2247,12.6733
4,2932,20.8789
4,3386,25.2671
4,3396,13.0831
4,6186,19.5051
4,12669,16.8795
4,26607,9.26911
4,33254,27.1451
4,33995,34.226
4,39281,14.7656
4,42252,8.7261
4,42479,15.4812
4,53464,15.8397
4,62853,24.6196
5,3,6.03122
5,54,56.6644
5,90,7.40101
5,223,19.4751
5,483,3.07584
5,501,3.25749
5,2258,4.64473
5,17624,5.60484
5,21286,2.958
5,21372,4.15363
5,22205,3.48211
5,24161,3.1392
5,24444,5.34183
5,43794,2.9436
5,51190,4.64959
5,69644,6.69189
5,74936,5.06875
6,152,45.6192
6,791,53.5578
6,1219,36.9369
6,1993,70.093
6,2346,60.3567
6,3271,36.7425
6,8001,97.6817
6,10162,38.255
6,10226,23.0786
6,10435,27.3493
6,14648,65.4185
6,17200,35.3746
6,39358,35.4345
6,43285,100.948
6,48871,62.7418
6,69253,54.6318
6,74246,26.6878
7,236,22.9593
7,2117,19.0934
7,4109,30.0146
7,5566,63.9866
7,5998,21.1222
7,6144,34.4826
7,6332,23.065
7,6828,82.9645
7,8205,120.689
7,9212,21.1924
7,9325,35.5705
7,15057,16.9088
7,15305,32.7346
7,28151,62.7421
7,36117,57.7906
7,63192,17.4812
7,76740,30.0519
9,28,0.125843
9,2678,0.0806773
9,4485,0.126675
9,5861,0.108844
9,6350,0.0533818
9,23527,0.0440398
9,26468,0.218798
9,30210,0.18623
9,44327,0.055512
10,75,60.8669
10,249,83.3767
10,657,267.994
10,717,437.44
10,845,103.314
10,1812,518.918
10,6359,137.146
10,9664,268.555
10,10413,126.63
10,12770,55.4698
10,15638,1457.09
10,22595,210.691
10,29137,45.2762
10,33665,84.6347
10,35033,63.1709
10,63273,89.999
10,76195,162.92
11,5,425.835
11,67,72.9433
11,179,64.8589
11,228,117.687
11,395,358.413
11,517,81.5242
11,1372,95.0633
11,1403,60.6541
11,1425,356.506
11,1993,103.144
11,6665,79.4432
11,11923,489.07
11,14852,73.2532
11,15904,229.878
11,17568,165.621
11,21749,467.022
11,29539,68.0814
12,72,44.2718
12,275,34.5496
12,1258,28.3679
12,2117,23.008
12,2223,44.781
12,2901,24.173
12,3887,22.9954
12,4377,37.6434
12,5830,20.5067
12,10295,58.6889
12,15540,68.9925
12,35103,24.5517
12,53110,83.0537
12,53633,24.6291
12,55022,38.0456
12,63004,36.5621
12,69868,22.9572
13,29,16.5222
13,395,36.8284
13,452,32.6006
13,475,27.3127
13,946,26.1729
13,4081,25.4904
13,5832,24.7583
13,6160,28.2355
13,7253,18.3019
13,7699,18.2031
13,11923,154.453
13,14715,15.8304
13,16247,16.1344
13,18616,15.5982
13,20076,25.6167
13,24948,16.4217
13,78512,14.4004
14,207,6.03265
14,273,17.1833
14,489,5.44317
14,495,4.46881
14,2027,5.96204
14,3744,19.7265
14,5272,13.2529
14,5878,15.0983
14,10040,9.9085
14,10944,5.75363
14,11915,5.50242
14,12142,15.5429
14,12581,12.1105
14,22415,9.92183
14,26828,7.33183
14,40780,7.20338
14,54690,8.33224
15,1331,32.3082
15,1678,236.902
15,2072,49.9958
15,3441,52.3134
15,3490,49.2302
15,3978,26.7789
15,10170,46.7984
15,13290,121.61
15,16314,134.342
15,17603,26.2219
15,18500,40.3387
15,24979,32.0714
15,30341,93.5857
15,30505,27.9835
15,34269,25.3543
15,41707,43.3516
15,58752,35.3337
16,29,255.98
16,623,234.213
16,693,181.871
16,1183,663.053
16,1398,1083.62
16,1735,301.742
16,3699,103.592
16,4249,112.078
16,10040,128.101
16,15544,173.923
16,17046,151.061
16,26828,427.111
16,31707,155.69
16,35636,235.696
16,47832,89.8957
16,65518,86.2921
16,72826,85.9771
17,461,4.98278
17,520,14.495
17,1056,14.1815
17,3654,24.0414
17,4090,4.79734
17,6276,3.99041
17,7234,4.73093
17,7415,5.82834
17,7429,7.20216
17,7901,7.37302
17,9007,8.14899
17,21360,6.01831
17,21978,3.4818
17,36096,4.19481
17,44299,4.50788
17,64529,4.73233
17,78512,8.32644
18,345,18.3518
18,406,8.07511
18,495,6.21363
18,2397,3.2904
18,3763,7.60382
18,4041,5.43044
18,4648,5.17341
18,5717,5.27563
18,9465,3.62031
18,11391,4.65146
18,14587,8.22999
18,17624,10.7653
18,17910,11.964
18,19971,3.28878
18,27892,14.4736
18,42124,5.01755
18,46462,24.246
19,219,47.9181
19,1726,216.56
19,2008,111.42
19,4814,145.293
19,6902,40.4335
19,7887,41.186
19,11381,90.9412
19,13992,157.291
19,15007,51.2182
19,20784,79.2298
19,26673,49.4886
19,28478,42.2947
19,33171,85.7682
19,41269,46.1465
19,55239,61.4744
19,62248,42.0233
19,78512,39.2563
20,1784,12.4241
20,2593,15.6193
20,2759,59.7912
20,3021,27.1185
20,6144,43.79
20,7950,31.1521
20,13569,195.514
20,15837,33.0415
20,21360,16.1391
20,25456,42.6449
20,26840,12.3324
20,28214,13.3021
20,30165,12.41
20,33814,24.7234
20,39277,28.6541
20,48031,24.7945
20,56483,19.0528
21,28,22.8366
21,223,49.1505
21,270,31.7377
21,1150,25.815
21,1505,33.0461
21,1635,24.2853
21,2027,340.418
21,2430,35.0652
21,3720,56.1331
21,3969,27.6917
21,6813,121.587
21,7200,20.4316
21,10780,21.046
21,15580,110.966
21,31474,54.5562
21,38108,21.3313
21,41987,32.9372
22,722,0.50902
22,1855,0.76798
22,1977,5.07903
22,4079,0.42691
22,7429,1.36309
22,8001,1.58307
22,9753,0.50578
22,10166,0.907704
22,11643,3.16902
22,11709,1.89069
22,12770,1.02998
22,15007,1.20434
22,32819,0.951293
22,38088,0.871367
22,39823,0.579953
22,51161,0.845632
22,80395,1.56611
23,75,60.8669
23,249,84.4959
